ml,en,pos,description
ശ്രീകണ്ഠമാഗലം,Sreekandamangalam,,
കമ്പനിജോലി,having a Company job,,
ഴത്ത്,thazhath,,
തീറാധാരം,Sale Deed,,
തീരാധാരം,Sale Deed,,
ഗോപിനാഥ് മൊഹാദ് മകൻ,son of Gopinath Mohad,,
ദേവസ്യ മകൻ,son of Devasya,,
പടിഞ്ഞാറ്റും ഭാഗം കരയിൽ,Padinjattum Bhagam Karayil,,
പഴയപുരക്കൽതാഴത്ത്,Pazhayapurakkalthazhath,,
വസ്തുവകകൾ,properties,,
ടി,above said,,
കൊല്ലം,malayalam year,,
കൊല്ലം,Quilon district,,
മിഥുനം,In the Malayalam month of Midhunam,,
ഒറ്റപ്പാലം,Ottapalam,,a taluk in Kerala
താലൂ,Taluk,,
പേരൂർ,Peroor,,name of a location
അംശം,Amsam,,subdivision of a taluk
ദേശം,desam(a place),,a place
സനൂഫ മൻസിലിൽ,in Sanufa Mansil,,
താജുദ്ദീൻ മകൻ,son of Tajuddin,,
ഫാർമസിസ്റ്റ് യൂനാൻ,Yunoos Khan who is a pharmasist,,
മേപ്പടി,aforesaid,,
സ്വസ്ഥം,unemployed,,
എന്റെ ഉമ്മയും,my mother,,
കടകശ്മീ രി വളപ്പിൽ,in the Kadakashmiri area,,
സയൂഫ മൻസിലിൽ,in Sayoofa Mansil,,
താജുദ്ദീൻ ഭാര്യയുമായ,wife of Tajuddin,,
സ്വസ്ഥാ,unemployed,,
പേർക്ക്,to,,
